name,club,periods
Hakan Şükür,Galatasaray,"1992-1995, 1995-2000, 2003-2008"
Tanju Çolak,Galatasaray,1987-1991
Arif Erdem,Galatasaray,"1991-2000, 2000-2005"
Metin Oktay,Galatasaray,"1955-1961, 1962-1969"
Ümit Karan,Galatasaray,"2001-2005, 2005-2009"
Burak Yılmaz,Galatasaray,2012-2016
Gheorghe Hagi,Galatasaray,1996-2001
Necati Ateş,Galatasaray,"2004-2007, 2008-2008, 2008-2008, 2009-2009, 2012-2012"
Milan Baros,Galatasaray,2008-2013
Mauro Icardi,Galatasaray,"2022-2023, 2023-2025"
Selçuk İnan,Galatasaray,2011-2020
Uğur Tütüneker,Galatasaray,1986-1996
Bafétimbi Gomis,Galatasaray,"2017-2018, 2022-2023"
Arda Turan,Galatasaray,"2000-2006, 2006-2011, 2020-2022"
Kerem Aktürkoğlu,Galatasaray,2020-2024
Wesley Sneijder,Galatasaray,2013-2017
Umut Bulut,Galatasaray,"2012-2013, 2013-2016"
Okan Buruk,Galatasaray,"1990-2001, 2006-2008"
Tugay Kerimoğlu,Galatasaray,1980-2000
Suat Kaya,Galatasaray,"1986-1987, 1992-2003"
Xhevat Prekazi,Galatasaray,1985-1991
Erdal Keser,Galatasaray,"1984-1986, 1989-1995"
Saffet Sancaklı,Galatasaray,1994-1995
Hasan Şaş,Galatasaray,1998-2009
Shabani Nonda,Galatasaray,2007-2010
Harry Kewell,Galatasaray,2008-2011
Jardel,Galatasaray,2000-2001
Sofiane Feghouli,Galatasaray,2017-2022
Lukas Podolski,Galatasaray,2015-2017
Sinan Gümüş,Galatasaray,2014-2019
Mirsad Kovacevic,Galatasaray,1986-1989
Ümit Davala,Galatasaray,"1996-2001, 2002-2003"
Yasin Öztekin,Galatasaray,2014-2018
Gökmen Özdenak,Galatasaray,1967-1980
Serkan Aykut,Galatasaray,2000-2002
Suat Mamat,Galatasaray,1952-1963
Cüneyt Tanman,Galatasaray,"1973-1975, 1976-1991"
Mbaye Diagne,Galatasaray,"2019-2019, 2020-2021, 2021-2022"
Eren Derdiyok,Galatasaray,2016-2019
Victor Osimhen,Galatasaray,2024-2025
Sasa Ilic,Galatasaray,2005-2007
Roman Kosecki,Galatasaray,1990-1992
Sabri Sarıoğlu,Galatasaray,1999-2017
Dries Mertens,Galatasaray,2022-2025
Henry Onyekuru,Galatasaray,"2018-2019, 2020-2020, 2021-2021"
Barış Alper Yılmaz,Galatasaray,2021-2025
Younès Belhanda,Galatasaray,2017-2021
Kubilay Türkyilmaz,Galatasaray,1993-1996
Hakan Ünsal,Galatasaray,"1994-2002, 2002-2005"
Dean Saunders,Galatasaray,1995-1996
Yusuf Altıntaş,Galatasaray,1984-1994
İlyas Tüfekçi,Galatasaray,1986-1990
Didier Drogba,Galatasaray,2013-2014
Radamel Falcao,Galatasaray,2019-2021
Hasan Kabze,Galatasaray,2005-2007
Falko Götz,Galatasaray,1992-1994
Emre Belözoğlu,Galatasaray,1995-2001
Emre Çolak,Galatasaray,2008-2016
Ayhan Elmastaşoğlu,Galatasaray,1961-1973
Bülent Korkmaz,Galatasaray,1985-2005
Felipe Melo,Galatasaray,"2011-2012, 2012-2013, 2013-2015"
Hasan Vezir,Galatasaray,1989-1991
Ryan Babel,Galatasaray,"2019-2020, 2020-2022"
Adrian Ilie,Galatasaray,1996-1997
Johan Elmander,Galatasaray,"2011-2013, 2014-2014"
Yunus Akgün,Galatasaray,"2015-2020, 2021-2021, 2022-2023, 2024-2025"
Mostafa Mohamed,Galatasaray,"2021-2022, 2022-2022, 2023-2023"
Mustafa Kocabey,Galatasaray,1992-1994
Ayhan Akman,Galatasaray,2001-2012
Lincoln,Galatasaray,2007-2009
Garry Rodrigues,Galatasaray,2017-2019
Tarik Hodzic,Galatasaray,1982-1984
Mirsad Sejdic,Galatasaray,1982-1984
Bruma,Galatasaray,"2013-2014, 2014-2015, 2016-2017"
Bahri Altıntabak,Galatasaray,"1960-1967, 1968-1968"
Sergen Yalçın,Galatasaray,"1999-2000, 2001-2002"
Abdülkerim Bardakcı,Galatasaray,2022-2025
Emre Akbaba,Galatasaray,"2018-2021, 2022-2022"
Cihan Haspolatlı,Galatasaray,2002-2007
Hakan Balta,Galatasaray,2007-2018
Ergün Penbe,Galatasaray,1994-2007
Márcio Mixirica,Galatasaray,1999-2001
Halil Dervişoğlu,Galatasaray,"2021-2021, 2021-2022, 2023-2024, 2024-2024, 2025-2025"
Torsten Gütschow,Galatasaray,1992-1993
Erhan Önal,Galatasaray,1985-1992
Servet Çetin,Galatasaray,2007-2012
Hamza Hamzaoğlu,Galatasaray,1991-1995
Barış Özbek,Galatasaray,2007-2011
Aurélien Chedjou,Galatasaray,2013-2017
Adem Büyük,Galatasaray,2019-2020
Uğur Köken,Galatasaray,1959-1973
Aydın Yılmaz,Galatasaray,"2004-2007, 2007-2008, 2008-2010, 2010-2015"
Abdul Kader Keita,Galatasaray,2009-2010
Wilfried Zaha,Galatasaray,"2023-2024, 2025-2025, 2026-2025"
Fatih Akyel,Galatasaray,1997-2001
Savaş Koç,Galatasaray,"1986-1987, 1988-1990"
Emre Kılınç,Galatasaray,"2020-2022, 2023-2023"
Öner Kılıç,Galatasaray,"1976-1981, 1982-1984, 1985-1985, 1986-1987"
Bülent Alkılıç,Galatasaray,"1980-1986, 1987-1987, 1988-1988, 1989-1990, 1991-1991"
Capone,Galatasaray,1999-2002
