rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Zafer Biryol,Unknown,73,48,12,6.219,2003-2005,Biryol,15,8,0,Konyaspor,Attack - Centre-Forward,,Türkiye,tr,https://www.transfermarkt.us/zafer-biryol/profil/spieler/7388,https://img.a.transfermarkt.technology/portrait/small/7388-1729603928.jpg?lm=1,,02.10.1976,Rize,Retired
2,Ömer Ali Şahiner,Ömer Ali Şahiner,298,36,32,21.897,2012-2021,Şahiner,6,40,0,Konyaspor,Defender - Right-Back,"1,75 m",Türkiye,tr,https://www.transfermarkt.us/omer-ali-sahiner/profil/spieler/110695,https://img.a.transfermarkt.technology/portrait/small/110695-1739885972.JPG?lm=1,,02.01.1992,Konya,Basaksehir FK
3,Tayfun Türkmen,Unknown,169,33,13,11.313,"2003-2007, 2009-2010",Türkmen,Unknown,15,3,Konyaspor,Attack - Centre-Forward,"1,89 m",Türkiye,tr,https://www.transfermarkt.us/tayfun-turkmen/profil/spieler/7391,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,12.04.1978,Mersin,Retired
4,Riad Bajic,Riad Bajić,119,33,14,7.486,"2015-2017, 2019-2020",Bajic,16,5,0,Konyaspor,Attack - Centre-Forward,"1,89 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/riad-bajic/profil/spieler/263267,https://img.a.transfermarkt.technology/portrait/small/263267-1696615705.png?lm=1,,06.05.1994,Sarajevo,MKE Ankaragücü
5,Sokol Cikalleshi,Sokol Çikalleshi,111,30,11,7.473,"2020-2022, 2023-2024",Cikalleshi,16,11,0,Konyaspor,Attack - Centre-Forward,"1,87 m",Albania,al,https://www.transfermarkt.us/sokol-cikalleshi/profil/spieler/99047,https://img.a.transfermarkt.technology/portrait/small/99047-1696346401.png?lm=1,,27.07.1990,Kavajë,Adanaspor
6,Erdal Kilicaslan,Erdal Kılıçaslan,127,26,13,8.891,"2008-2011, 2012-2014",Kilicaslan,-,17,0,Konyaspor,Attack - Left Winger,,Germany,de,https://www.transfermarkt.us/erdal-kilicaslan/profil/spieler/2148,https://img.a.transfermarkt.technology/portrait/small/2148-1477319690.jpg?lm=1,,23.08.1984,München,Retired
7,Nejc Skubic,Unknown,254,19,30,22.15,2016-2022,Skubic,2,41,1,Konyaspor,Defender - Right-Back,"1,77 m",Slovenia,si,https://www.transfermarkt.us/nejc-skubic/profil/spieler/91434,https://img.a.transfermarkt.technology/portrait/small/91434-1653317428.jpg?lm=1,,13.06.1989,Kranj,Retired
8,Kayhan Kaynak,Unknown,57,18,2,4.297,1988-1991,Kaynak,-,10,0,Konyaspor,Attack - Centre-Forward,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/kayhan-kaynak/profil/spieler/336601,https://img.a.transfermarkt.technology/portrait/small/336601-1742312244.jpg?lm=1,,14.10.1960,Adana,---
9,Murat Hacıoğlu,Unknown,72,18,6,5.211,"2005-2006, 2007-2008",Hacıoğlu,21,9,0,Konyaspor,Attack - Second Striker,"1,69 m",Türkiye,tr,https://www.transfermarkt.us/murat-hacioglu/profil/spieler/7201,https://img.a.transfermarkt.technology/portrait/small/7201-1741772144.jpg?lm=1,,10.06.1979,Rize,Retired
10,Recep Aydın,Unknown,125,17,1,6.894,"2006-2010, 2010-2010, 2011-2015, 2016-2016, 2017-2017, 2018-2018, 2019-2019",Aydın,Unknown,17,0,Konyaspor,Midfield - Central Midfield,"1,79 m",Türkiye,tr,https://www.transfermarkt.us/recep-aydin/profil/spieler/98631,https://img.a.transfermarkt.technology/portrait/small/98631-1680950763.png?lm=1,,27.01.1990,Canakkale,Beykoz Anadolu Spor
