rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Serkan Aykut,Unknown,354,194,21,27.609,"1992-2000, 2002-2009",Aykut,9,49,3,Samsunspor,Attack - Centre-Forward,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/serkan-aykut/profil/spieler/7142,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.02.1975,Ankara,Retired
2,Ertuğrul Sağlam,Unknown,180,58,10,13.39,"1989-1994, 2000-2003",Sağlam,-,23,2,Samsunspor,Attack - Centre-Forward,"1,84 m",Türkiye,tr,https://www.transfermarkt.us/ertugrul-saglam/profil/spieler/17125,https://img.a.transfermarkt.technology/portrait/small/17125-1727465617.jpeg?lm=1,,19.11.1969,Zonguldak,Retired
3,Cenk İşler,Cenk İşler,129,40,6,8.758,"1992-1993, 1994-1998, 2004-2005, 2010-2011",İşler,-,21,3,Samsunspor,Attack - Centre-Forward,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/cenk-isler/profil/spieler/1294,https://img.a.transfermarkt.technology/portrait/small/1294-1575121896.jpeg?lm=1,,25.02.1974,Köln,Retired
4,Celil Sağır,Unknown,339,38,43,27.98,"1994-2000, 2001-2006, 2007-2008",Sağır,-,57,2,Samsunspor,Midfield - Left Midfield,"1,68 m",Türkiye,tr,https://www.transfermarkt.us/celil-sagir/profil/spieler/7057,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.04.1974,Samsun,Retired
5,Caner Altın,Unknown,130,34,8,7.749,2002-2008,Altın,-,16,1,Samsunspor,Attack - Centre-Forward,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/caner-altin/profil/spieler/7138,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.07.1983,Ankara,Retired
6,İlhan Mansız,Unknown,94,27,17,7.019,1998-2001,Mansız,10,20,0,Samsunspor,Attack - Centre-Forward,,Türkiye,tr,https://www.transfermarkt.us/ilhan-mansiz/profil/spieler/6875,https://img.a.transfermarkt.technology/portrait/small/6875-1590420470.jpg?lm=1,,10.08.1975,Kempten,Retired
7,Kubilay Yavuz,İlyas Kubilay Yavuz,86,24,13,5.25,2018-2021,Yavuz,Unknown,8,1,Samsunspor,Midfield - Central Midfield,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/kubilay-yavuz/profil/spieler/324177,https://img.a.transfermarkt.technology/portrait/small/324177-1662127177.png?lm=1,,26.09.1994,Trabzon,Batman Petrolspor
8,Ehiosun Ekigho,Unknown,92,23,8,6.093,"2011-2012, 2013-2014, 2015-2016",Ekigho,-,9,0,Samsunspor,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/ehiosun-ekigho/profil/spieler/181417,https://img.a.transfermarkt.technology/portrait/small/181417-1464457347.jpg?lm=1,,25.06.1990,Lagos,Retired
9,Musa Aydın,Unknown,253,22,35,15.075,"1998-2006, 2012-2016",Aydın,Unknown,37,0,Samsunspor,Attack - Right Winger,"1,72 m",Türkiye,tr,https://www.transfermarkt.us/musa-aydin/profil/spieler/7139,https://img.a.transfermarkt.technology/portrait/small/7139-1468012741.jpg?lm=1,,01.11.1980,Samsun,Retired
10,Ercan Koloğlu,Unknown,350,21,2,30.223,"1987-1990, 1992-2003",Koloğlu,-,66,9,Samsunspor,Defender - Sweeper,"1,83 m",Türkiye,tr,https://www.transfermarkt.us/ercan-kologlu/profil/spieler/91660,https://img.a.transfermarkt.technology/portrait/small/91660-1741881952.jpeg?lm=1,,11.02.1968,Trabzon,Retired
11,Mustafa Sinecek,Unknown,112,19,2,7.854,"1986-1990, 1991-1992",Sinecek,-,11,1,Samsunspor,Midfield - Right Midfield,Unknown,Türkiye,tr,https://www.transfermarkt.us/mustafa-sinecek/profil/spieler/92128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.05.1968,Samsun,Retired
12,Daniel Timofte,Unknown,152,19,1,12.019,1993-1999,Timofte,-,31,3,Samsunspor,Midfield - Attacking Midfield,,Romania,ro,https://www.transfermarkt.us/daniel-timofte/profil/spieler/84709,https://img.a.transfermarkt.technology/portrait/small/84709-1570026711.jpg?lm=1,,01.10.1967,Petrila,Retired
13,Bünyamin Kubat,Unknown,86,18,12,6.665,1990-1995,Kubat,Unknown,14,0,Samsunspor,Attack - Centre-Forward,Unknown,Türkiye,tr,https://www.transfermarkt.us/bunyamin-kubat/profil/spieler/91640,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.11.1969,Ankara,Retired
14,Uğur Dağdelen,Uğur Dağdelen,91,17,6,4.866,"1995-1997, 1998-2000",Dağdelen,-,14,2,Samsunspor,Attack - Centre-Forward,Unknown,Türkiye,tr,https://www.transfermarkt.us/ugur-dagdelen/profil/spieler/91654,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.10.1973,Amasya,---
15,Moryké Fofana,Unknown,87,17,16,4.831,2021-2024,Fofana,Unknown,7,0,Samsunspor,Attack - Left Winger,"1,75 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/moryke-fofana/profil/spieler/240497,https://img.a.transfermarkt.technology/portrait/small/240497-1697629069.png?lm=1,,23.11.1991,Grand-Bassam,Manisa FK
16,Adnan Güngör,Unknown,219,16,7,16.332,"1999-2007, 2013-2014",Güngör,-,55,0,Samsunspor,Midfield - Defensive Midfield,"1,79 m",Türkiye,tr,https://www.transfermarkt.us/adnan-gungor/profil/spieler/7052,https://img.a.transfermarkt.technology/portrait/small/7052-1473083353.jpg?lm=1,,20.09.1980,Samsun,Retired
17,Erol Dinler,Unknown,87,15,2,6.592,1985-1989,Dinler,-,10,0,Samsunspor,Midfield,Unknown,Türkiye,tr,https://www.transfermarkt.us/erol-dinler/profil/spieler/114906,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,23.02.1958,Kırıkkale,Retired
