name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Ambrosiy Chachua,Karpaty Lviv,https://www.transfermarkt.us/ambrosiy-chachua/profil/spieler/212232,https://img.a.transfermarkt.technology/portrait/small/212232-1693493466.png?lm=1,Chachua,-,Ukraine,ua,Karpaty Lviv,Rivne,Чачуа Амбросій Анзорович,Midfield - Attacking Midfield,"1,71 m",02.04.1994,91,21,11,0,8,0,0,3,24,7.843
Artur Ryabov,Rukh Lviv,https://www.transfermarkt.us/artur-ryabov/profil/spieler/633850,https://img.a.transfermarkt.technology/portrait/small/633850-1671021152.png?lm=1,Ryabov,Unknown,Ukraine,ua,Karpaty Lviv,"Komarno, Lviv Oblast",Рябов Артур Андрійович,Midfield - Central Midfield,"1,75 m",20.08.2000,50,5,3,0,18,0,0,11,16,3.419
Igor Neves,Karpaty Lviv,https://www.transfermarkt.us/igor-neves/profil/spieler/804264,https://img.a.transfermarkt.technology/portrait/small/804264-1693493802.png?lm=1,Neves,Unknown,Brazil,br,Karpaty Lviv,Paraná,Igor Neves Alves,Attack - Centre-Forward,"1,78 m",13.03.1999,49,12,3,0,6,0,0,8,34,3.374
Yan Kostenko,Karpaty Lviv,https://www.transfermarkt.us/yan-kostenko/profil/spieler/794617,https://img.a.transfermarkt.technology/portrait/small/794617-1693493545.png?lm=1,Kostenko,Unknown,Ukraine,ua,Karpaty Lviv,Poltava,Костенко Ян Володимирович,Midfield - Left Midfield,"1,82 m",04.07.2003,45,6,9,0,6,1,0,11,30,2.613
Denys Galenkov,SC Poltava,https://www.transfermarkt.us/denys-galenkov/profil/spieler/376227,https://img.a.transfermarkt.technology/portrait/small/376227-1671021252.png?lm=1,Galenkov,Unknown,Ukraine,ua,Karpaty Lviv,Dnipropetrovsk,Галенков Денис Ігорович,Midfield - Right Midfield,"1,84 m",13.10.1995,44,6,1,0,4,1,0,13,8,2.922
Pavlo Polegenko,Karpaty Lviv,https://www.transfermarkt.us/pavlo-polegenko/profil/spieler/216579,https://img.a.transfermarkt.technology/portrait/small/216579-1693492990.png?lm=1,Polegenko,-,Ukraine,ua,Karpaty Lviv,Chernigiv,Полегенько Павло Ігорович,Defender - Right-Back,"1,80 m",06.01.1995,42,8,5,0,1,0,0,3,2,3.543
Denys Kozhanov,Retired,https://www.transfermarkt.us/denys-kozhanov/profil/spieler/58403,https://img.a.transfermarkt.technology/portrait/small/58403-1693493766.png?lm=1,Kozhanov,13,Ukraine,ua,Karpaty Lviv,"Girnyk, Donetsk Oblast",Кожанов Денис Станіславович,Attack - Right Winger,"1,72 m",13.06.1987,42,16,10,0,3,0,0,5,25,3.217
Yevgen Pidlepenets,Karpaty Lviv,https://www.transfermarkt.us/yevgen-pidlepenets/profil/spieler/678783,https://img.a.transfermarkt.technology/portrait/small/678783-1693493735.png?lm=1,Pidlepenets,Unknown,Ukraine,ua,Karpaty Lviv,"Tokmak, Zaporizhya Oblast",Підлепенець Євген Геннадійович,Attack - Right Winger,"1,85 m",10.11.1998,42,8,11,0,0,0,0,9,28,2.738
Vladyslav Baboglo,Karpaty Lviv,https://www.transfermarkt.us/vladyslav-baboglo/profil/spieler/567873,https://img.a.transfermarkt.technology/portrait/small/567873-1723703553.png?lm=1,Baboglo,3,Moldova,md,Karpaty Lviv,Ceadîr-Lunga,Бабогло Владислав Віталійович,Defender - Centre-Back,"1,88 m",14.11.1998,41,1,1,0,6,0,0,0,3,3.611
Vladyslav Pryimak,Obolon Kyiv,https://www.transfermarkt.us/vladyslav-pryimak/profil/spieler/517081,https://img.a.transfermarkt.technology/portrait/small/517081-1723644495.png?lm=1,Pryimak,Unknown,Ukraine,ua,Karpaty Lviv,"Simferopol, Krym",Приймак Владислав Андрійович,Defender - Centre-Back,"1,87 m",30.08.1996,38,5,2,0,10,1,0,3,13,2.976
