name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Valeriy Kucherov,NK Veres Rivne,https://www.transfermarkt.us/valeriy-kucherov/profil/spieler/273341,https://img.a.transfermarkt.technology/portrait/small/273341-1723642063.png?lm=1,Kucherov,Unknown,Ukraine,ua,NK Veres Rivne,"Stakhanov, Lugansk Oblast",Кучеров Валерій Володимирович,Midfield - Defensive Midfield,"1,75 m",11.08.1993,181,6,15,1,18,0,1,43,29,12.747
Volodymyr Novak,Retired,https://www.transfermarkt.us/volodymyr-novak/profil/spieler/1013206,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Novak,Unknown,Ukraine,ua,NK Veres Rivne,"Velyki Tseptsevychi, Rivne Region",Новак Володимир Петрович,Attack,"1,80 m",01.03.1963,156,2,0,0,14,0,0,1,3,13.827
Bogdan Kogut,NK Veres Rivne,https://www.transfermarkt.us/bogdan-kogut/profil/spieler/70923,https://img.a.transfermarkt.technology/portrait/small/70923-1723641763.png?lm=1,Kogut,Unknown,Ukraine,ua,NK Veres Rivne,Lviv,Когут Богдан Ігорович,Goalkeeper,"1,90 m",10.10.1987,135,0,0,0,10,0,0,4,2,11.975
Vitaliy Dakhnovskyi,NK Veres Rivne,https://www.transfermarkt.us/vitaliy-dakhnovskyi/profil/spieler/688714,https://img.a.transfermarkt.technology/portrait/small/688714-1723642120.png?lm=1,Dakhnovskyi,Unknown,Ukraine,ua,NK Veres Rivne,"Pyatnytsya, Lviv Oblast",Дахновський Віталій Олегович,Midfield - Right Midfield,"1,75 m",10.02.1999,121,14,19,0,24,0,2,33,73,7.333
Mykola Gayduchyk,NK Veres Rivne,https://www.transfermarkt.us/mykola-gayduchyk/profil/spieler/860701,https://img.a.transfermarkt.technology/portrait/small/860701-1723642301.png?lm=1,Gayduchyk,Unknown,Ukraine,ua,NK Veres Rivne,"Zdolbuniv, Rivne Oblast",Гайдучик Микола Михайлович,Attack - Centre-Forward,"1,88 m",30.12.1999,103,19,13,0,4,0,0,39,55,5.508
Mykhaylo Shestakov,SC Vilkhivtsi (Zakarpattya Oblast),https://www.transfermarkt.us/mykhaylo-shestakov/profil/spieler/321165,https://img.a.transfermarkt.technology/portrait/small/321165-1616756213.png?lm=1,Shestakov,Unknown,Ukraine,ua,NK Veres Rivne,"Ladyzhyn, Vinnytsya Oblast",Шестаков Михайло Сергійович,Attack - Centre-Forward,"1,75 m",12.04.1990,103,24,2,0,15,0,0,59,35,4.490
Mykhaylo Sergiychuk,FC Trostyanets,https://www.transfermarkt.us/mykhaylo-sergiychuk/profil/spieler/243841,https://img.a.transfermarkt.technology/portrait/small/243841-1616756160.png?lm=1,Sergiychuk,Unknown,Ukraine,ua,NK Veres Rivne,"Kostyantynivka, Rivne Oblast",Сергійчук Михайло Миколайович,Attack - Centre-Forward,"1,74 m",29.07.1991,99,21,9,0,19,0,1,40,48,5.411
Gennadiy Pasich,LNZ Cherkasy,https://www.transfermarkt.us/gennadiy-pasich/profil/spieler/315236,https://img.a.transfermarkt.technology/portrait/small/315236-1720636803.png?lm=1,Pasich,Unknown,Ukraine,ua,NK Veres Rivne,"Dniprodzerzhynsk, Dnipropetrovsk Oblast",Пасіч Геннадій Анатолійович,Midfield - Left Midfield,"1,74 m",13.07.1993,93,13,12,0,22,1,0,13,29,7.246
Oleg Kucher,Retired,https://www.transfermarkt.us/oleg-kucher/profil/spieler/883457,https://img.a.transfermarkt.technology/portrait/small/883457-1674563442.jpg?lm=1,Kucher,Unknown,Ukraine,ua,NK Veres Rivne,Unknown,Кучер Олег Миколайович,Midfield,"1,75 m",17.11.1971,91,2,1,0,2,0,0,32,26,5.366
Sergiy Voznyuk,Retired,https://www.transfermarkt.us/sergiy-voznyuk/profil/spieler/1015194,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Voznyuk,Unknown,Ukraine,ua,NK Veres Rivne,Rivne,Вознюк Сергій Васильович,Attack,"1,74 m",14.09.1974,90,16,0,0,8,0,0,4,8,7.803
Ruslan Stepanyuk,NK Veres Rivne,https://www.transfermarkt.us/ruslan-stepanyuk/profil/spieler/222079,https://img.a.transfermarkt.technology/portrait/small/222079-1723642222.png?lm=1,Stepanyuk,-,Ukraine,ua,NK Veres Rivne,"Vesele, Dnipropetrovsk Oblast",Степанюк Руслан Юрійович,Attack - Centre-Forward,"1,81 m",16.01.1992,90,32,14,0,9,0,0,5,18,7.615
Anatoliy Kolomiyets,Retired,https://www.transfermarkt.us/anatoliy-kolomiyets/profil/spieler/885433,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Kolomiyets,Unknown,Ukraine,ua,NK Veres Rivne,Rivne,Коломієць Анатолій Анатолійович,Midfield,"1,74 m",18.03.1976,85,4,0,0,6,0,0,25,15,5.599
Vladyslav Sharay,NK Veres Rivne,https://www.transfermarkt.us/vladyslav-sharay/profil/spieler/520400,https://img.a.transfermarkt.technology/portrait/small/520400-1723642244.png?lm=1,Sharay,Unknown,Ukraine,ua,NK Veres Rivne,"Romny, Sumy Oblast",Шарай Владислав Геннадійович,Attack - Left Winger,"1,75 m",25.05.1997,85,12,5,0,16,1,1,38,25,4.522
Sergiy Michuda,Retired,https://www.transfermarkt.us/sergiy-michuda/profil/spieler/986520,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Michuda,Unknown,Ukraine,ua,NK Veres Rivne,Unknown,Мічуда Сергій Миколайович,Defender,"1,80 m",27.10.1973,82,1,0,0,11,0,2,6,4,6.697
Igor Ukrainets,Retired,https://www.transfermarkt.us/igor-ukrainets/profil/spieler/1015329,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ukrainets,Unknown,Ukraine,ua,NK Veres Rivne,Unknown,Українець Ігор Васильович,Attack,"1,76 m",22.01.1976,82,10,0,0,6,1,1,31,25,5.057
