rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Tymerlan Guseynov,Гусейнов Тімєрлан Рустамович,240,87,12,19.433,N/A,Guseynov,-,16,1,Chornomorets Odesa,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/tymerlan-guseynov/profil/spieler/98750,https://img.a.transfermarkt.technology/portrait/small/98750-1642088218.jpg?lm=1,N/A,24.01.1968,"Buynaksk, Dagestan",Retired
2,Oleksandr Kosyrin,Косирін Олександр Михайлович,121,59,9,10.209,N/A,Kosyrin,21,18,0,Chornomorets Odesa,Attack - Centre-Forward,"1,85 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-kosyrin/profil/spieler/34771,https://img.a.transfermarkt.technology/portrait/small/34771-1642087988.png?lm=1,N/A,18.06.1977,Zaporizhya,Retired
3,Volodymyr Ploskina,Плоскіна Володимир Іванович,466,58,4,40.838,N/A,Ploskina,-,9,0,Chornomorets Odesa,Defender - Centre-Back,"1,76 m",Ukraine,ua,https://www.transfermarkt.us/volodymyr-ploskina/profil/spieler/136526,https://img.a.transfermarkt.technology/portrait/small/136526-1638376850.jpg?lm=1,N/A,25.05.1954,"Chynadyiovo, Zakarpattya Oblast",---
4,Oleksandr Shcherbakov,Щербаков Олександр Іванович,201,47,3,13.794,N/A,Shcherbakov,Unknown,1,0,Chornomorets Odesa,Attack - Right Winger,"1,72 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-shcherbakov/profil/spieler/135317,https://img.a.transfermarkt.technology/portrait/small/135317-1674561941.jpg?lm=1,N/A,31.07.1960,"Kryvyi Rig, Dnipropetrovsk Oblast",Retired
5,Vladimir Fink,Финк Владимир Александрович,143,42,0,9.410,N/A,Fink,Unknown,1,0,Chornomorets Odesa,Attack - Centre-Forward,"1,81 m",Russia,unknown,https://www.transfermarkt.us/vladimir-fink/profil/spieler/209190,https://img.a.transfermarkt.technology/portrait/small/209190-1638401053.jpg?lm=1,N/A,28.03.1958,"Vylkovo, Altay Region",---
6,Kostyantyn Balabanov,Балабанов Костянтин Олексійович,127,42,13,8.667,N/A,Balabanov,-,18,0,Chornomorets Odesa,Attack - Centre-Forward,"1,79 m",Ukraine,ua,https://www.transfermarkt.us/kostyantyn-balabanov/profil/spieler/34766,https://img.a.transfermarkt.technology/portrait/small/34766-1642084111.png?lm=1,N/A,13.08.1982,"Kiliya, Odessa Oblast",Retired
7,Vitaliy Shevchenko,Шевченко Виталий Викторович,192,38,1,15.683,N/A,Shevchenko,-,8,2,Chornomorets Odesa,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/vitaliy-shevchenko/profil/spieler/328146,https://img.a.transfermarkt.technology/portrait/small/328146-1588473106.jpg?lm=1,N/A,02.10.1951,Baku,Retired
8,Sergiy Gusev,Гусєв Сергій Євгенійович,105,35,1,7.840,N/A,Gusev,-,2,0,Chornomorets Odesa,Attack - Centre-Forward,"1,80 m",Ukraine,ua,https://www.transfermarkt.us/sergiy-gusev/profil/spieler/185481,https://img.a.transfermarkt.technology/portrait/small/185481-1634647121.jpg?lm=1,N/A,01.07.1967,Odessa,Retired
9,Vasyl Moskalenko,Москаленко Василь Васильович,162,32,0,13.773,N/A,Moskalenko,-,0,0,Chornomorets Odesa,Attack - Centre-Forward,"1,76 m",Ukraine,ua,https://www.transfermarkt.us/vasyl-moskalenko/profil/spieler/827508,https://img.a.transfermarkt.technology/portrait/small/827508-1706182521.jpg?lm=1,N/A,18.06.1938,Odessa,---
10,Ivan Getsko,Гецко Іван Михайлович,95,31,2,7.415,N/A,Getsko,-,5,1,Chornomorets Odesa,Attack - Centre-Forward,"1,86 m",Ukraine,ua,https://www.transfermarkt.us/ivan-getsko/profil/spieler/93359,https://img.a.transfermarkt.technology/portrait/small/93359-1634586786.jpg?lm=1,N/A,06.04.1968,Dnipropetrovsk,Retired
11,Anatoliy Didenko,Діденко Анатолій Олександрович,184,31,7,8.212,N/A,Didenko,Unknown,21,0,Chornomorets Odesa,Attack - Centre-Forward,"1,93 m",Ukraine,ua,https://www.transfermarkt.us/anatoliy-didenko/profil/spieler/25891,https://img.a.transfermarkt.technology/portrait/small/25891-1674561693.jpg?lm=1,N/A,09.06.1982,Mykolaiv,Retired
12,Ivan Shariy,Шарій Іван Григорович,130,31,0,8.482,N/A,Shariy,Unknown,5,1,Chornomorets Odesa,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ivan-shariy/profil/spieler/136529,https://img.a.transfermarkt.technology/portrait/small/136529-1676455254.jpg?lm=1,N/A,24.11.1957,Poltava,Retired
13,Igor Belanov,Ігор Іванович Бєланов,130,31,0,9.882,N/A,Belanov,19,3,0,Chornomorets Odesa,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/igor-belanov/profil/spieler/85752,https://img.a.transfermarkt.technology/portrait/small/s_85752_123_2012_1.jpg?lm=1,N/A,25.09.1960,Odessa,Retired
14,Yuriy Goryachev,Горячев Юрій Петрович,109,28,0,6.391,N/A,Goryachev,Unknown,1,0,Chornomorets Odesa,Attack - Centre-Forward,"1,87 m",Ukraine,ua,https://www.transfermarkt.us/yuriy-goryachev/profil/spieler/827663,https://img.a.transfermarkt.technology/portrait/small/827663-1676139962.jpeg?lm=1,N/A,16.06.1960,Odessa,Retired
15,Volodymyr Ustymchyk,Устимчик Владимир Кириллович,237,28,5,19.607,N/A,Ustymchyk,-,2,1,Chornomorets Odesa,Midfield - Central Midfield,"1,69 m",Ukraine,ua,https://www.transfermarkt.us/volodymyr-ustymchyk/profil/spieler/731367,https://img.a.transfermarkt.technology/portrait/small/731367-1674150113.jpg?lm=1,N/A,05.05.1952,"Kryvyi Rig, Dnipropetrovsk Oblast",---
