rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Oleg Ilyin,Ільїн Олег Андрійович,169,15,17,10.718,N/A,Ilyin,Unknown,29,0,Kolos Kovalivka,Midfield - Right Midfield,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/oleg-ilyin/profil/spieler/495923,https://img.a.transfermarkt.technology/portrait/small/495923-1723628221.png?lm=1,N/A,08.06.1997,Odesa,Obolon Kyiv
2,Oleksandr Bondarenko,Бондаренко Олександр Ігорович,107,28,13,6.324,N/A,Bondarenko,Unknown,25,0,Kolos Kovalivka,Attack - Centre-Forward,"1,83 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-bondarenko/profil/spieler/25821,https://img.a.transfermarkt.technology/portrait/small/25821-1569866558.png?lm=1,N/A,28.07.1989,Kiew,Retired
3,Andriy Bogdanov,Богданов Андрій Євгенович,91,0,10,6.641,N/A,Bogdanov,-,30,0,Kolos Kovalivka,Midfield - Central Midfield,"1,82 m",Ukraine,ua,https://www.transfermarkt.us/andriy-bogdanov/profil/spieler/92567,https://img.a.transfermarkt.technology/portrait/small/92567-1641647090.png?lm=1,N/A,21.01.1990,Kiew,FSC-Feniks Mariupol
4,Pavlo Orikhovskyi,Оріховський Павло Борисович,114,19,9,7.810,N/A,Orikhovskyi,-,20,0,Kolos Kovalivka,Midfield - Central Midfield,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/pavlo-orikhovskyi/profil/spieler/248936,https://img.a.transfermarkt.technology/portrait/small/248936-1723628201.png?lm=1,N/A,13.05.1996,"Chervonoarmiysk, Zhytomyr Oblast",Kolos Kovalivka
5,Yevgen Zadoya,Задоя Євген Ігорович,140,10,8,9.153,N/A,Zadoya,-,32,1,Kolos Kovalivka,Midfield - Defensive Midfield,"1,79 m",Ukraine,ua,https://www.transfermarkt.us/yevgen-zadoya/profil/spieler/59978,https://img.a.transfermarkt.technology/portrait/small/59978-1641647133.png?lm=1,N/A,05.01.1991,Zaporizhya,Retired
6,Vladyslav Nekhtiy,Нехтій Владислав Володимирович,77,5,7,4.170,N/A,Nekhtiy,-,9,0,Kolos Kovalivka,Midfield - Attacking Midfield,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/vladyslav-nekhtiy/profil/spieler/259869,https://img.a.transfermarkt.technology/portrait/small/259869-1671463873.png?lm=1,N/A,19.12.1991,Almaty,MFC Metalurg Zaporizhya
7,Yevgeniy Morozko,Морозко Євгеній Георгійович,114,11,7,6.054,N/A,Morozko,Unknown,14,1,Kolos Kovalivka,Defender - Right-Back,"1,76 m",Ukraine,ua,https://www.transfermarkt.us/yevgeniy-morozko/profil/spieler/380376,https://img.a.transfermarkt.technology/portrait/small/380376-1723641916.png?lm=1,N/A,15.02.1993,Kyiv,Without Club
8,Volodymyr Lysenko,Лисенко Володимир Володимирович,141,27,6,8.026,N/A,Lysenko,7,23,0,Kolos Kovalivka,Attack - Centre-Forward,"1,86 m",Ukraine,ua,https://www.transfermarkt.us/volodymyr-lysenko/profil/spieler/58413,https://img.a.transfermarkt.technology/portrait/small/58413-1641647365.png?lm=1,N/A,20.04.1988,Kiew,Retired
9,Denys Antyukh,Антюх Денис Миколайович,48,5,6,2.662,N/A,Antyukh,Unknown,6,0,Kolos Kovalivka,Attack - Right Winger,"1,83 m",Ukraine,ua,https://www.transfermarkt.us/denys-antyukh/profil/spieler/383325,https://img.a.transfermarkt.technology/portrait/small/383325-1669466441.png?lm=1,N/A,30.07.1997,"Okhtyrka, Sumy Oblast",Zorya Lugansk
10,Vasyl Koropetskyi,Коропецький Василь Васильович,61,3,5,3.362,N/A,Koropetskyi,Unknown,9,0,Kolos Kovalivka,Attack - Left Winger,"1,64 m",Ukraine,ua,https://www.transfermarkt.us/vasyl-koropetskyi/profil/spieler/380380,https://img.a.transfermarkt.technology/portrait/small/380380-1527538114.jpg?lm=1,N/A,24.09.1986,"Zolochiv, Lviv Oblast",Retired
11,Ivan Kryvosheenko,Кривошеєнко Іван Васильович,14,0,5,860.000,N/A,Kryvosheenko,-,0,0,Kolos Kovalivka,Midfield - Right Midfield,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ivan-kryvosheenko/profil/spieler/86502,https://img.a.transfermarkt.technology/portrait/small/86502-1670838966.png?lm=1,N/A,11.05.1984,"Pryluky, Chernigiv Oblast",Retired
12,Vadym Milko,Мілько Вадим Іванович,177,14,5,12.357,N/A,Milko,6,31,0,Kolos Kovalivka,Midfield - Central Midfield,"1,82 m",Ukraine,ua,https://www.transfermarkt.us/vadym-milko/profil/spieler/58418,https://img.a.transfermarkt.technology/portrait/small/58418-1641647196.png?lm=1,N/A,22.08.1986,"Pervomaysk, Mykolaiv Oblast",Retired
13,Yuriy Solomka,Соломка Юрій Анатолійович,40,4,5,1.950,N/A,Solomka,Unknown,5,0,Kolos Kovalivka,Midfield - Left Midfield,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/yuriy-solomka/profil/spieler/228846,https://img.a.transfermarkt.technology/portrait/small/228846-1527538303.jpg?lm=1,N/A,04.01.1990,"Pokrovske, Dnipropetrovsk Region",Unknown
14,Oleksandr Pozdeev,Поздєєв Олександр Сергійович,86,14,5,6.561,N/A,Pozdeev,Unknown,9,0,Kolos Kovalivka,Midfield - Central Midfield,"1,87 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-pozdeev/profil/spieler/380379,https://img.a.transfermarkt.technology/portrait/small/380379-1569866437.png?lm=1,N/A,14.06.1986,Kiew,Retired
15,Denys Bezborodko,Безбородько Денис Олегович,63,4,4,3.072,N/A,Bezborodko,-,12,0,Kolos Kovalivka,Attack - Centre-Forward,"1,83 m",Ukraine,ua,https://www.transfermarkt.us/denys-bezborodko/profil/spieler/269371,https://img.a.transfermarkt.technology/portrait/small/269371-1723628358.png?lm=1,N/A,31.05.1994,Chernigiv,Chornomorets Odesa
16,Yaroslav Vyshnyak,Вишняк Ярослав Васильович,35,3,4,1.218,N/A,Vyshnyak,Unknown,6,0,Kolos Kovalivka,Midfield - Attacking Midfield,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/yaroslav-vyshnyak/profil/spieler/57910,https://img.a.transfermarkt.technology/portrait/small/57910-1527538223.jpg?lm=1,N/A,22.07.1982,Kiew,Retired
17,Vladyslav Veleten,Unknown,61,4,4,2.578,N/A,Unknown,Unknown,10,0,Kolos Kovalivka,Unknown,Unknown,Ukraine,ua,https://www.transfermarkt.us/vladyslav-veleten/profil/spieler/729781,https://img.a.transfermarkt.technology/portrait/small/729781-1723628400.png?lm=1,N/A,01.10.2002,Unknown,Kolos Kovalivka
18,Denys Kostyshyn,Костишин Денис Русланович,84,13,4,3.488,N/A,Kostyshyn,13,16,0,Kolos Kovalivka,Midfield - Attacking Midfield,"1,79 m",Ukraine,ua,https://www.transfermarkt.us/denys-kostyshyn/profil/spieler/366446,https://img.a.transfermarkt.technology/portrait/small/366446-1724667075.png?lm=1,N/A,31.08.1997,Khmelnytskyi,FC Drita
19,Vyacheslav Churko,"Чурко Вячеслав Вячеславович, ung. Csurko Vjacseszlav",29,4,4,2.249,N/A,Churko,-,5,0,Kolos Kovalivka,Midfield - Attacking Midfield,"1,80 m",Ukraine,ua,https://www.transfermarkt.us/vyacheslav-churko/profil/spieler/131553,https://img.a.transfermarkt.technology/portrait/small/131553-1641647281.png?lm=1,N/A,10.05.1993,Uzhgorod,Metalist 1925 Kharkiv
20,Jovanny Bolívar,Jovanny David Bolívar Alvarado,15,2,3,1.025,N/A,Bolívar,11,3,0,Kolos Kovalivka,Attack - Centre-Forward,"1,76 m",Venezuela,ve,https://www.transfermarkt.us/jovanny-bolivar/profil/spieler/648076,https://img.a.transfermarkt.technology/portrait/small/648076-1726546135.png?lm=1,N/A,16.12.2001,Acarigua,Kolos Kovalivka
21,Oleksiy Zozulya,Зозуля Олексій Володимирович,78,2,3,6.296,N/A,Zozulya,-,16,0,Kolos Kovalivka,Defender - Right-Back,"1,77 m",Ukraine,ua,https://www.transfermarkt.us/oleksiy-zozulya/profil/spieler/269365,https://img.a.transfermarkt.technology/portrait/small/269365-1569866138.png?lm=1,N/A,15.04.1992,Kyiv,UCSA Tarasivka
22,Oleksandr Chornomorets,Чорноморець Олександр Сергійович,117,3,3,10.105,N/A,Chornomorets,22,25,0,Kolos Kovalivka,Defender - Left-Back,"1,82 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-chornomorets/profil/spieler/167555,https://img.a.transfermarkt.technology/portrait/small/167555-1641646851.png?lm=1,N/A,05.04.1993,"Zelenodolsk, Dnipropetrovsk Oblast",Metalist 1925 Kharkiv
