rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Vitaliy Dakhnovskyi,Дахновський Віталій Олегович,121,14,19,7.333,N/A,Dakhnovskyi,Unknown,24,2,NK Veres Rivne,Midfield - Right Midfield,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/vitaliy-dakhnovskyi/profil/spieler/688714,https://img.a.transfermarkt.technology/portrait/small/688714-1723642120.png?lm=1,N/A,10.02.1999,"Pyatnytsya, Lviv Oblast",NK Veres Rivne
2,Valeriy Kucherov,Кучеров Валерій Володимирович,181,6,15,12.747,N/A,Kucherov,Unknown,18,1,NK Veres Rivne,Midfield - Defensive Midfield,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/valeriy-kucherov/profil/spieler/273341,https://img.a.transfermarkt.technology/portrait/small/273341-1723642063.png?lm=1,N/A,11.08.1993,"Stakhanov, Lugansk Oblast",NK Veres Rivne
3,Ruslan Stepanyuk,Степанюк Руслан Юрійович,90,32,14,7.615,N/A,Stepanyuk,-,9,0,NK Veres Rivne,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ruslan-stepanyuk/profil/spieler/222079,https://img.a.transfermarkt.technology/portrait/small/222079-1723642222.png?lm=1,N/A,16.01.1992,"Vesele, Dnipropetrovsk Oblast",NK Veres Rivne
4,Anton Kotlyar,Котляр Антон Станіславович,45,2,13,2.675,N/A,Kotlyar,Unknown,6,0,NK Veres Rivne,Midfield - Right Midfield,"1,67 m",Ukraine,ua,https://www.transfermarkt.us/anton-kotlyar/profil/spieler/296780,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.03.1993,Kirovograd,Retired
5,Mykola Gayduchyk,Гайдучик Микола Михайлович,103,19,13,5.508,N/A,Gayduchyk,Unknown,4,0,NK Veres Rivne,Attack - Centre-Forward,"1,88 m",Ukraine,ua,https://www.transfermarkt.us/mykola-gayduchyk/profil/spieler/860701,https://img.a.transfermarkt.technology/portrait/small/860701-1723642301.png?lm=1,N/A,30.12.1999,"Zdolbuniv, Rivne Oblast",NK Veres Rivne
6,Gennadiy Pasich,Пасіч Геннадій Анатолійович,93,13,12,7.246,N/A,Pasich,Unknown,22,0,NK Veres Rivne,Midfield - Left Midfield,"1,74 m",Ukraine,ua,https://www.transfermarkt.us/gennadiy-pasich/profil/spieler/315236,https://img.a.transfermarkt.technology/portrait/small/315236-1720636803.png?lm=1,N/A,13.07.1993,"Dniprodzerzhynsk, Dnipropetrovsk Oblast",LNZ Cherkasy
7,Bogdan Samardak,Самардак Богдан Миколайович,72,9,9,5.963,N/A,Samardak,Unknown,4,0,NK Veres Rivne,Midfield,,Ukraine,ua,https://www.transfermarkt.us/bogdan-samardak/profil/spieler/885300,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.03.1963,"Vankovichi, Lviv Oblast",Retired
8,Rostyslav Voloshynovych,Волошинович Ростислав Зіновійович,45,6,9,2.833,N/A,Voloshynovych,Unknown,6,0,NK Veres Rivne,Attack - Left Winger,"1,77 m",Ukraine,ua,https://www.transfermarkt.us/rostyslav-voloshynovych/profil/spieler/331184,https://img.a.transfermarkt.technology/portrait/small/331184-1671003136.png?lm=1,N/A,23.05.1991,"Broshniv-Osada, Ivano-Frankivsk Oblast",Probiy Gorodenka
9,Robert Gegedosh,Гегедош Роберт Володимирович,46,11,9,2.616,N/A,Gegedosh,Unknown,7,0,NK Veres Rivne,Attack - Centre-Forward,"1,80 m",Ukraine,ua,https://www.transfermarkt.us/robert-gegedosh/profil/spieler/211317,https://img.a.transfermarkt.technology/portrait/small/211317-1616756096.png?lm=1,N/A,02.05.1993,"Svalyava, Zakarpattya Oblast",TSU Jeging
10,Mykhaylo Sergiychuk,Сергійчук Михайло Миколайович,99,21,9,5.411,N/A,Sergiychuk,Unknown,19,1,NK Veres Rivne,Attack - Centre-Forward,"1,74 m",Ukraine,ua,https://www.transfermarkt.us/mykhaylo-sergiychuk/profil/spieler/243841,https://img.a.transfermarkt.technology/portrait/small/243841-1616756160.png?lm=1,N/A,29.07.1991,"Kostyantynivka, Rivne Oblast",FC Trostyanets
11,Artur Zapadnya,Западня Артур Володимирович,54,0,6,4.524,N/A,Zapadnya,20,5,0,NK Veres Rivne,Defender - Left-Back,"1,83 m",Ukraine,ua,https://www.transfermarkt.us/artur-zapadnya/profil/spieler/111074,https://img.a.transfermarkt.technology/portrait/small/111074-1569582189.png?lm=1,N/A,04.06.1990,"Pershotravensk, Dnipropetrovsk Oblast",Retired
12,Vladyslav Sharay,Шарай Владислав Геннадійович,85,12,5,4.522,N/A,Sharay,Unknown,16,1,NK Veres Rivne,Attack - Left Winger,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/vladyslav-sharay/profil/spieler/520400,https://img.a.transfermarkt.technology/portrait/small/520400-1723642244.png?lm=1,N/A,25.05.1997,"Romny, Sumy Oblast",NK Veres Rivne
13,Iago Siqueira,Iago Siqueira Augusto,46,4,5,3.238,N/A,Siqueira,Unknown,12,0,NK Veres Rivne,Midfield - Attacking Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/iago-siqueira/profil/spieler/831697,https://img.a.transfermarkt.technology/portrait/small/831697-1723642094.png?lm=1,N/A,14.03.2000,Pirassununga,Riga FC
14,Dmytro Klyots,Кльоц Дмитро Віталійович,70,8,5,4.590,N/A,Klyots,-,8,0,NK Veres Rivne,Midfield - Central Midfield,"1,74 m",Ukraine,ua,https://www.transfermarkt.us/dmytro-klyots/profil/spieler/294188,https://img.a.transfermarkt.technology/portrait/small/294188-1723642148.png?lm=1,N/A,15.04.1996,Rivne,NK Veres Rivne
15,Igor Yavorskyi,Яворський Ігор Петрович,43,12,4,3.617,N/A,Yavorskyi,Unknown,7,0,NK Veres Rivne,Attack - Centre-Forward,,Ukraine,ua,https://www.transfermarkt.us/igor-yavorskyi/profil/spieler/826122,https://img.a.transfermarkt.technology/portrait/small/826122-1705302587.jpg?lm=1,N/A,09.06.1959,"Murovane, Lviv Oblast",Retired
16,Dmytro Nemchaninov,Нємчанінов Дмитро Андрійович,46,3,4,4.035,N/A,Nemchaninov,-,7,1,NK Veres Rivne,Defender - Centre-Back,"1,89 m",Ukraine,ua,https://www.transfermarkt.us/dmytro-nemchaninov/profil/spieler/120262,https://img.a.transfermarkt.technology/portrait/small/120262-1616754976.png?lm=1,N/A,27.01.1990,Kiew,SC Vilkhivtsi (Zakarpattya Oblast)
17,Oleksandr Svystunov,Свистунов Олександр Вікторович,80,12,4,6.489,N/A,Svystunov,-,1,0,NK Veres Rivne,Midfield - Central Midfield,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-svystunov/profil/spieler/231421,https://img.a.transfermarkt.technology/portrait/small/231421-1634653836.jpg?lm=1,N/A,30.08.1973,"Yalta, Krym",Retired
18,Igor Soldat,Солдат Ігор Володимирович,56,5,4,4.913,N/A,Soldat,Unknown,6,0,NK Veres Rivne,Defender - Right-Back,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/igor-soldat/profil/spieler/227199,https://img.a.transfermarkt.technology/portrait/small/227199-1671463618.png?lm=1,N/A,10.03.1991,Kyiv,Bukovyna Chernivtsi
19,Oleksandr Palyanytsya,Паляниця Олександр Віталійович,69,17,3,5.776,N/A,Palyanytsya,-,5,0,NK Veres Rivne,Attack - Centre-Forward,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-palyanytsya/profil/spieler/142526,https://img.a.transfermarkt.technology/portrait/small/142526-1634648971.jpg?lm=1,N/A,29.02.1972,Zhytomyr,Retired
20,Ruslan Shaporenko,Шапоренко Руслан Васильович,58,7,3,3.704,N/A,Shaporenko,Unknown,5,0,NK Veres Rivne,Attack,"1,72 m",Ukraine,ua,https://www.transfermarkt.us/ruslan-shaporenko/profil/spieler/1015205,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.02.1973,Unknown,Retired
21,Oleksandr Chervonyi,Червоний Олександр Володимирович,50,3,2,4.112,N/A,Chervonyi,Unknown,0,0,NK Veres Rivne,Midfield - Defensive Midfield,,Ukraine,ua,https://www.transfermarkt.us/oleksandr-chervonyi/profil/spieler/214374,https://img.a.transfermarkt.technology/portrait/small/214374-1676141018.jpeg?lm=1,N/A,01.09.1961,"Oleksandrivka, Dnipropetrovsk Oblast",Retired
