name,club,periods
Ivan Tyshchenko,LNZ Cherkasy,2021-2024
Yaroslav Galenko,LNZ Cherkasy,"2021-2022, 2022-2023"
Andriy Storchous,LNZ Cherkasy,"2020-2022, 2022-2023"
Denys Dolinskyi,LNZ Cherkasy,"2021-2022, 2022-2023, 2024-2024"
Denys Norenkov,LNZ Cherkasy,"2021-2022, 2023-2025"
Vladyslav Naumets,LNZ Cherkasy,2023-2025
Gennadiy Pasich,LNZ Cherkasy,2023-2025
Ivan Bobko,LNZ Cherkasy,2021-2022
Muharrem Jashari,LNZ Cherkasy,2024-2025
Anton Savin,LNZ Cherkasy,2022-2024
Vitaliy Boyko,LNZ Cherkasy,2023-2025
Hajdin Salihu,LNZ Cherkasy,2024-2025
Olivier Thill,LNZ Cherkasy,2024-2025
Maksym Pryadun,LNZ Cherkasy,2023-2024
Francis Momoh,LNZ Cherkasy,2024-2025
Eynel Soares,LNZ Cherkasy,2024-2025
Dmytro Sula,LNZ Cherkasy,2021-2022
Denys Oliynyk,LNZ Cherkasy,2023-2025
Sergiy Shestakov,LNZ Cherkasy,2023-2025
Oleksandr Nasonov,LNZ Cherkasy,"2021-2022, 2023-2025"
Ilya Putrya,LNZ Cherkasy,2024-2025
Dmytro Topalov,LNZ Cherkasy,2024-2025
Maksym Lopyryonok,LNZ Cherkasy,2021-2024
Pavlo Zamurenko,LNZ Cherkasy,"2020-2022, 2022-2023"
Oleksiy Khoblenko,LNZ Cherkasy,"2023-2023, 2024-2024"
Vladyslav Khamelyuk,LNZ Cherkasy,2022-2024
Nazariy Nych,LNZ Cherkasy,"2023-2024, 2024-2024"
Sergiy Rybalka,LNZ Cherkasy,2023-2024
Nazariy Muravskyi,LNZ Cherkasy,"2023-2023, 2023-2025"
Taras Puchkovskyi,LNZ Cherkasy,2020-2022
Maksym Kovalyov,LNZ Cherkasy,2023-2024
Oleksandr Snizhko,LNZ Cherkasy,2021-2022
Shota Nonikashvili,LNZ Cherkasy,2024-2025
Vyacheslav Tankovskyi,LNZ Cherkasy,2025-2025
Mark Assinor,LNZ Cherkasy,2024-2025
Anton Vakulenko,LNZ Cherkasy,
Arad Bar,LNZ Cherkasy,"2024-2025, 2025-2025"
Mykyta Polyulyakh,LNZ Cherkasy,2022-2023
Vladyslav Nekhtiy,LNZ Cherkasy,2022-2023
Igor Soldat,LNZ Cherkasy,2022-2023
Anton Yevdokymov,LNZ Cherkasy,"2021-2022, 2022-2023"
Oleg Tarasenko,LNZ Cherkasy,"2021-2022, 2022-2024"
Mollo Bessala,LNZ Cherkasy,2024-2025
Vladyslav Voytsekhovskyi,LNZ Cherkasy,2021-2023
Oleksandr Kolos,LNZ Cherkasy,
Ruslan Kachur,LNZ Cherkasy,
Yevgen Banada,LNZ Cherkasy,2023-2024
Andriy Kalinich,LNZ Cherkasy,
Vladyslav Vivdenko,LNZ Cherkasy,
Tymofiy Lystopad,LNZ Cherkasy,
Dmytro Kozachenko,LNZ Cherkasy,
Roman Kolomiyets,LNZ Cherkasy,
Oleksandr Parfyonov,LNZ Cherkasy,
Bogdan Kushnirenko,LNZ Cherkasy,2025-2025
Vyacheslav Tkachenko,LNZ Cherkasy,
Artem Tuboltsev,LNZ Cherkasy,
Maryan Lytovchak,LNZ Cherkasy,
Denys Shelikhov,LNZ Cherkasy,2022-2023
Sergiy Dedov,LNZ Cherkasy,
Vitaliy Grytsay,LNZ Cherkasy,
Yevgen Gud,LNZ Cherkasy,
Dmytro Koshelyuk,LNZ Cherkasy,2020-2022
Viktor Aleksandrov,LNZ Cherkasy,
Bogdan Kondratyuk,LNZ Cherkasy,
Roman Tolochko,LNZ Cherkasy,2022-2023
Matej Angelov,LNZ Cherkasy,2024-2025
Vladyslav Gorshchynskyi,LNZ Cherkasy,
Ajdi Dajko,LNZ Cherkasy,2024-2025
Oleksandr Drambayev,LNZ Cherkasy,2025-2025
Sergiy Kopyl,LNZ Cherkasy,"2022-2024, 2024-2024"
Ilya Kovalenko,LNZ Cherkasy,"2022-2022, 2022-2022, 2023-2023"
Andriy Popovych,LNZ Cherkasy,"2021-2022, 2022-2023"
Oleksandr Safonov,LNZ Cherkasy,
Bogdan Kuksenko,LNZ Cherkasy,2021-2022
Osama Khalaila,LNZ Cherkasy,2024-2025
Petro Stasyuk,LNZ Cherkasy,"2023-2024, 2025-2025"
Oleksandr Kapliyenko,LNZ Cherkasy,2024-2025
German Penkov,LNZ Cherkasy,2023-2025
Andriy Lyashenko,LNZ Cherkasy,2022-2023
Oleg Synyogub,LNZ Cherkasy,2022-2023
Artur Avagimyan,LNZ Cherkasy,2024-2025
Kirill Samoylenko,LNZ Cherkasy,2022-2025
Oleksandr Golikov,LNZ Cherkasy,2021-2022
Oleksandr Volkov,LNZ Cherkasy,2021-2022
Ivan Kalyuzhnyi,LNZ Cherkasy,2023-2023
Yevgeniy Kucherenko,LNZ Cherkasy,2024-2025
Yevgen Selin,LNZ Cherkasy,2023-2024
Sergiy Shvets,LNZ Cherkasy,2022-2023
Anatoliy Burlin,LNZ Cherkasy,
Maksym Tyapkin,LNZ Cherkasy,2022-2023
Yevgeniy Panchenko,LNZ Cherkasy,2020-2022
Oleksandr Migunov,LNZ Cherkasy,2022-2023
Béni Makouana,LNZ Cherkasy,2025-2025
