name,club,periods
Yuriy Klymchuk,Rukh Lviv,2019-2025
Daniil Kondrakov,Rukh Lviv,2019-2022
Ilya Kvasnytsya,Rukh Lviv,"2020-2025, 2025-2025"
Volodymyr Bidlovskyi,Rukh Lviv,2016-2018
Talles Brener,Rukh Lviv,"2021-2022, 2022-2024, 2026-2025"
Yuriy Kopyna,Rukh Lviv,2017-2021
Borys Baranets,Rukh Lviv,2016-2019
Yaroslav Karabin,Rukh Lviv,2020-2025
Grygoriy Baranets,Rukh Lviv,2016-2019
Vasyl Runich,Rukh Lviv,2020-2025
Yevgen Bokhashvili,Rukh Lviv,2017-2018
Svyatoslav Kozlovskyi,Rukh Lviv,"2012-2013, 2013-2014, 2014-2015, 2015-2015, 2016-2018, 2019-2021"
Viktor Khomchenko,Rukh Lviv,2017-2018
Oleksiy Omelchenko,Rukh Lviv,2016-2017
Svyatoslav Zubar,Rukh Lviv,2017-2018
Igor Krasnopir,Rukh Lviv,2024-2025
Ivan Brikner,Rukh Lviv,2018-2021
Andriy Boryachuk,Rukh Lviv,2021-2022
Roman Ivanov,Rukh Lviv,2015-2017
Igor Duts,Rukh Lviv,"2017-2018, 2019-2021, 2023-2024"
Roman Nykytyuk,Rukh Lviv,2018-2020
Mykola Buy,Rukh Lviv,2017-2019
Valeriy Fedorchuk,Rukh Lviv,2020-2023
Ostap Prytula,Rukh Lviv,2020-2025
Bogdan Slyubyk,Rukh Lviv,2020-2025
Bogdan Boychuk,Rukh Lviv,2019-2023
Ernest Antwi,Rukh Lviv,2019-2020
Mykhaylo Kozak,Rukh Lviv,2018-2019
Yevgeniy Pastukh,Rukh Lviv,2021-2025
Oleksiy Dovgyi,Rukh Lviv,2022-2024
Rostyslav Rusyn,Rukh Lviv,2018-2021
Roman Didyk,Rukh Lviv,2021-2025
Ivan Bilyi,Rukh Lviv,2017-2018
Mykola Kukharevych,Rukh Lviv,2020-2021
Ange-Freddy Plumain,Rukh Lviv,"2022-2022, 2022-2022, 2023-2025"
Yaroslav Kinash,Rukh Lviv,2016-2017
Nazar Verbnyi,Rukh Lviv,"2017-2017, 2019-2019"
Denys Pidgurskyi,Rukh Lviv,2021-2025
Oleg Sheptytskyi,Rukh Lviv,2013-2017
Viv Solomon-Otabor,Rukh Lviv,2022-2024
Yuriy Gabovda,Rukh Lviv,2017-2017
Yevgeniy Lozovyi,Rukh Lviv,2017-2018
Ivan Kalyuzhnyi,Rukh Lviv,2019-2020
Yaroslav Martynyuk,Rukh Lviv,2019-2022
Volodymyr Zastavnyi,Rukh Lviv,2017-2021
Andriy Gurskyi,Rukh Lviv,2014-2018
Sidnney,Rukh Lviv,"2019-2020, 2020-2020"
Maksym Grysyo,Rukh Lviv,2017-2019
Oleksandr Batalskyi,Rukh Lviv,2018-2019
Andriy Stolyarchuk,Rukh Lviv,"2020-2024, 2024-2025"
Andriy Busko,Rukh Lviv,2018-2018
Andriy Kikot,Rukh Lviv,2014-2017
Denys Teslyuk,Rukh Lviv,2022-2024
Vitaliy Dmytrukh,Rukh Lviv,2011-2017
Volodymyr Fedoriv,Rukh Lviv,2015-2017
Andriy Baglay,Rukh Lviv,2012-2017
Klayver,Rukh Lviv,2024-2025
Andriy Remenyuk,Rukh Lviv,2018-2018
Orest Kuzyk,Rukh Lviv,2021-2022
Andriy Kukharuk,Rukh Lviv,2020-2022
Oleg Panasyuk,Rukh Lviv,2014-2017
Marko Sapuga,Rukh Lviv,2020-2025
Leandro,Rukh Lviv,2019-2020
Andriy Korobenko,Rukh Lviv,2019-2020
Oleksiy Sych,Rukh Lviv,"2020-2020, 2020-2022, 2023-2025"
Denys Slyusar,Rukh Lviv,2020-2025
Fabricio Alvarenga,Rukh Lviv,2021-2024
Andriy Lyashenko,Rukh Lviv,2018-2019
Vasyl Bilyi,Rukh Lviv,2017-2018
Igor Boychuk,Rukh Lviv,2020-2021
Maryan Mysyk,Rukh Lviv,"2019-2019, 2019-2024"
Mykhaylo Pysko,Rukh Lviv,2018-2019
Artur Zagorulko,Rukh Lviv,2018-2019
Vitaliy Kholod,Rukh Lviv,2022-2025
Artur Ryabov,Rukh Lviv,2025-2025
Volodymyr Voytovych,Rukh Lviv,2018-2018
Vladyslav Pogorilyi,Rukh Lviv,2025-2025
Vladyslav Semotyuk,Rukh Lviv,2024-2025
Artur Remenyak,Rukh Lviv,2025-2025
Oleg Gorin,Rukh Lviv,2025-2025
Ivan Lytvynenko,Rukh Lviv,"2020-2021, 2021-2022"
Nikita Khodorchenko,Rukh Lviv,2019-2019
Denys Arendaruk,Rukh Lviv,2018-2019
Baboucarr Faal,Rukh Lviv,2025-2025
Osaze De Rosario,Rukh Lviv,2021-2022
Ruslan Nepeypiev,Rukh Lviv,"2019-2024, 2025-2025"
Rati Ardazishvili,Rukh Lviv,2020-2020
Danylo Slyva,Rukh Lviv,2024-2025
Yuriy Fomenko,Rukh Lviv,2017-2018
Nazar Rusyak,Rukh Lviv,2020-2025
Sergiy Petrov,Rukh Lviv,2019-2019
Bogdan Orynchak,Rukh Lviv,"2020-2020, 2020-2020"
Bogdan Kostyk,Rukh Lviv,2012-2017
Bright Enobakhare,Rukh Lviv,2022-2023
Yuriy Tlumak,Rukh Lviv,2025-2025
Ragnar Sigurdsson,Rukh Lviv,2021-2021
Oleg Veremiyenko,Rukh Lviv,"2020-2021, 2022-2023, 2024-2024"
Glib Savchuk,Rukh Lviv,"2021-2023, 2024-2024"
Mukhammad Dzhurabaev,Rukh Lviv,2024-2025
Beknaz Almazbekov,Rukh Lviv,2025-2025
