rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sergiy Chuychenko,Чуйченко Сергій Олександрович,86,47,4,6.659,"1996-1998, 1998-1999",Chuychenko,Unknown,4,0,Vorskla Poltava,Attack - Centre-Forward,"1,80 m",Ukraine,ua,https://www.transfermarkt.us/sergiy-chuychenko/profil/spieler/858005,https://img.a.transfermarkt.technology/portrait/small/858005-1674574986.jpg?lm=1,,25.10.1968,Kharkow,Retired
2,Ruslan Stepanyuk,Степанюк Руслан Юрійович,121,34,29,9.919,2020-2024,Stepanyuk,-,15,0,Vorskla Poltava,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ruslan-stepanyuk/profil/spieler/222079,https://img.a.transfermarkt.technology/portrait/small/222079-1723642222.png?lm=1,,16.01.1992,"Vesele, Dnipropetrovsk Oblast",NK Veres Rivne
3,Ivan Shariy,Шарій Іван Григорович,100,34,7,4.64,"1987-1989, 1992-1993, 1995-1997, 1998-1999",Shariy,Unknown,3,0,Vorskla Poltava,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ivan-shariy/profil/spieler/136529,https://img.a.transfermarkt.technology/portrait/small/136529-1676455254.jpg?lm=1,,24.11.1957,Poltava,Retired
4,Ahmed Januzi,Unknown,201,34,17,10.892,2007-2015,Januzi,16,37,0,Vorskla Poltava,Attack - Centre-Forward,"1,85 m",Albania,al,https://www.transfermarkt.us/ahmed-januzi/profil/spieler/59150,https://img.a.transfermarkt.technology/portrait/small/59150-1734644263.jpg?lm=1,,08.07.1988,Vushtrri,KF Llapi
5,Artem Gromov,Громов Артем Ігорович,154,28,14,9.931,2010-2016,Gromov,19,11,0,Vorskla Poltava,Attack - Left Winger,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/artem-gromov/profil/spieler/122088,https://img.a.transfermarkt.technology/portrait/small/122088-1639334958.png?lm=1,,14.01.1990,"Stryi, Lviv Oblast",Union Mauer
6,Roman Bezus,Безус Роман Анатолійович,111,24,12,7.218,2009-2013,Bezus,18,20,1,Vorskla Poltava,Midfield - Attacking Midfield,"1,85 m",Ukraine,ua,https://www.transfermarkt.us/roman-bezus/profil/spieler/97567,https://img.a.transfermarkt.technology/portrait/small/97567-1732288578.jpg?lm=1,,26.09.1990,"Kremenchuk, Poltava Oblast",Omonia Nicosia
7,Vasyl Sachko,Сачко Василь Вікторович,100,23,6,6.21,2008-2012,Sachko,Unknown,3,0,Vorskla Poltava,Attack - Centre-Forward,"1,90 m",Ukraine,ua,https://www.transfermarkt.us/vasyl-sachko/profil/spieler/59127,https://img.a.transfermarkt.technology/portrait/small/59127-1661247505.png?lm=1,,03.05.1975,"Staromlynivka, Donetsk Oblast",Retired
8,Yuriy Kolomoets,Коломоєць Юрій Миколайович,105,23,9,7.799,"2016-2017, 2017-2020",Kolomoets,-,17,0,Vorskla Poltava,Attack - Centre-Forward,"1,90 m",Ukraine,ua,https://www.transfermarkt.us/yuriy-kolomoets/profil/spieler/91425,https://img.a.transfermarkt.technology/portrait/small/91425-1664792599.png?lm=1,,22.03.1990,"Kryvyi Rig, Dnipropetrovsk Oblast",Retired
9,Sergiy Shevtsov,Шевцов Сергій Анатолійович,86,22,4,5.439,2001-2008,Shevtsov,Unknown,5,0,Vorskla Poltava,Attack,,Ukraine,ua,https://www.transfermarkt.us/sergiy-shevtsov/profil/spieler/751165,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,31.12.1975,Kherson,Retired
10,Vitaliy Kobzar,Кобзар Віталій Юрійович,184,21,17,12.261,1996-2003,Kobzar,-,22,1,Vorskla Poltava,Midfield,"1,71 m",Kyrgyzstan,kg,https://www.transfermarkt.us/vitaliy-kobzar/profil/spieler/369492,https://img.a.transfermarkt.technology/portrait/small/369492-1674581147.jpg?lm=1,,09.05.1972,Bishkek,Retired
