Date,Match,Result,Score,Competition
12 Aug 1989,Liverpool v Arsenal,W,1-0,FA Charity Shield
19 Aug 1989,Liverpool v Manchester City,W,3-1,League Division One
23 Aug 1989,Aston Villa v Liverpool,D,1-1,League Division One
26 Aug 1989,Luton Town v Liverpool,D,0-0,League Division One
09 Sep 1989,Derby County v Liverpool,W,0-3,League Division One
12 Sep 1989,Liverpool v Crystal Palace,W,9-0,League Division One
16 Sep 1989,Liverpool v Norwich City,D,0-0,League Division One
19 Sep 1989,Liverpool v Wigan Athletic,W,5-2,League Cup
23 Sep 1989,Everton v Liverpool,W,1-3,League Division One
04 Oct 1989,Wigan Athletic v Liverpool,W,0-3Agg: 2-8,League Cup
14 Oct 1989,Wimbledon v Liverpool,W,1-2,League Division One
21 Oct 1989,Southampton v Liverpool,L,4-1,League Division One
25 Oct 1989,Arsenal v Liverpool,L,1-0,League Cup
29 Oct 1989,Liverpool v Tottenham Hotspur,W,1-0,League Division One
04 Nov 1989,Liverpool v Coventry City,L,0-1,League Division One
11 Nov 1989,Queens Park Rangers v Liverpool,L,3-2,League Division One
19 Nov 1989,Millwall v Liverpool,W,1-2,League Division One
26 Nov 1989,Liverpool v Arsenal,W,2-1,League Division One
29 Nov 1989,Sheffield Wednesday v Liverpool,L,2-0,League Division One
02 Dec 1989,Manchester City v Liverpool,W,1-4,League Division One
09 Dec 1989,Liverpool v Aston Villa,D,1-1,League Division One
16 Dec 1989,Chelsea v Liverpool,W,2-5,League Division One
23 Dec 1989,Liverpool v Manchester United,D,0-0,League Division One
26 Dec 1989,Liverpool v Sheffield Wednesday,W,2-1,League Division One
30 Dec 1989,Liverpool v Charlton Athletic,W,1-0,League Division One
01 Jan 1990,Nottingham Forest v Liverpool,D,2-2,League Division One
06 Jan 1990,Swansea City v Liverpool,D,0-0,FA Cup
09 Jan 1990,Liverpool v Swansea City,W,8-0,FA Cup
13 Jan 1990,Liverpool v Luton Town,D,2-2,League Division One
20 Jan 1990,Crystal Palace v Liverpool,W,0-2,League Division One
28 Jan 1990,Norwich City v Liverpool,D,0-0,FA Cup
31 Jan 1990,Liverpool v Norwich City,W,3-1,FA Cup
03 Feb 1990,Liverpool v Everton,W,2-1,League Division One
10 Feb 1990,Norwich City v Liverpool,D,0-0,League Division One
17 Feb 1990,Liverpool v Southampton,W,3-0,FA Cup
03 Mar 1990,Liverpool v Millwall,W,1-0,League Division One
11 Mar 1990,Queens Park Rangers v Liverpool,D,2-2,FA Cup
14 Mar 1990,Liverpool v Queens Park Rangers,W,1-0,FA Cup
18 Mar 1990,Manchester United v Liverpool,W,1-2,League Division One
21 Mar 1990,Tottenham Hotspur v Liverpool,L,1-0,League Division One
31 Mar 1990,Liverpool v Southampton,W,3-2,League Division One
03 Apr 1990,Liverpool v Wimbledon,W,2-1,League Division One
08 Apr 1990,Crystal Palace v Liverpool,L,4-3,FA Cup
11 Apr 1990,Charlton Athletic v Liverpool,W,0-4,League Division One
14 Apr 1990,Liverpool v Nottingham Forest,D,2-2,League Division One
18 Apr 1990,Arsenal v Liverpool,D,1-1,League Division One
21 Apr 1990,Liverpool v Chelsea,W,4-1,League Division One
28 Apr 1990,Liverpool v Queens Park Rangers,W,2-1,League Division One
01 May 1990,Liverpool v Derby County,W,1-0,League Division One
05 May 1990,Coventry City v Liverpool,W,1-6,League Division One
