Date,Match,Result,Score,Competition
03 Sep 1904,Port Vale v Manchester United,D,2-2,League Division Two
10 Sep 1904,Manchester United v Bristol City,W,4-1,League Division Two
17 Sep 1904,Manchester United v Bolton Wanderers,L,1-2,League Division Two
24 Sep 1904,Glossop North End v Manchester United,W,1-2,League Division Two
08 Oct 1904,Bradford City v Manchester United,D,1-1,League Division Two
15 Oct 1904,Manchester United v Lincoln City,W,2-0,League Division Two
22 Oct 1904,Leicester City v Manchester United,W,0-3,League Division Two
29 Oct 1904,Manchester United v Barnsley,W,4-0,League Division Two
05 Nov 1904,West Bromwich Albion v Manchester United,W,0-2,League Division Two
12 Nov 1904,Manchester United v Burnley,W,1-0,League Division Two
19 Nov 1904,Grimsby Town v Manchester United,W,0-1,League Division Two
03 Dec 1904,Doncaster Rovers v Manchester United,W,0-1,League Division Two
10 Dec 1904,Manchester United v Gainsborough Trinity,W,3-1,League Division Two
17 Dec 1904,Burton United v Manchester United,W,2-3,League Division Two
24 Dec 1904,Manchester United v Liverpool,W,3-1,League Division Two
26 Dec 1904,Manchester United v Chesterfield Town,W,3-0,League Division Two
31 Dec 1904,Manchester United v Port Vale,W,6-1,League Division Two
02 Jan 1905,Manchester United v Bradford City,W,7-0,League Division Two
03 Jan 1905,Bolton Wanderers v Manchester United,W,2-4,League Division Two
07 Jan 1905,Bristol City v Manchester United,D,1-1,League Division Two
14 Jan 1905,Manchester United v Fulham,D,2-2,FA Cup
18 Jan 1905,Fulham v Manchester United,D,0-0,FA Cup
21 Jan 1905,Manchester United v Glossop North End,W,4-1,League Division Two
23 Jan 1905,Manchester United v Fulham,L,0-1,FA Cup
11 Feb 1905,Lincoln City v Manchester United,L,3-0,League Division Two
18 Feb 1905,Manchester United v Leicester City,W,4-1,League Division Two
25 Feb 1905,Barnsley v Manchester United,D,0-0,League Division Two
04 Mar 1905,Manchester United v West Bromwich Albion,W,2-0,League Division Two
11 Mar 1905,Burnley v Manchester United,L,2-0,League Division Two
18 Mar 1905,Manchester United v Grimsby Town,W,2-1,League Division Two
25 Mar 1905,Blackpool v Manchester United,W,0-1,League Division Two
01 Apr 1905,Manchester United v Doncaster Rovers,W,6-0,League Division Two
08 Apr 1905,Gainsborough Trinity v Manchester United,D,0-0,League Division Two
15 Apr 1905,Manchester United v Burton United,W,5-0,League Division Two
21 Apr 1905,Chesterfield Town v Manchester United,L,2-0,League Division Two
22 Apr 1905,Liverpool v Manchester United,L,4-0,League Division Two
24 Apr 1905,Manchester United v Blackpool,W,3-1,League Division Two
