zentriert,bilderrahmen-fixed src,hauptlink,hauptlink href,inline-table,zentriert 2,app,zentriert href,goal,assist,rechts,owngoal,period
1,https://img.a.transfermarkt.technology/portrait/medium/13556-1470905467.jpg?lm=1,Tim Cahill,https://www.transfermarkt.us/tim-cahill/profil/spieler/13556,Attacking Midfield,45,108,https://www.transfermarkt.us/cahill/nationalmannschaft/spieler/13556,50,30-Mar-04,24 years 03 months 24 days,20-Nov-18,30-Mar-04/20-Nov-18
2,https://img.a.transfermarkt.technology/portrait/medium/s_17299_11335_2013_10_10_1.jpg?lm=1,Damian Mori,https://www.transfermarkt.us/damian-mori/profil/spieler/17299,Centre-Forward,54,45,https://www.transfermarkt.us/mori/nationalmannschaft/spieler/17299,29,4-Sep-92,21 years 11 months 05 days,14-Jul-02,04-Sep-92/14-Jul-02
3,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,George Smith,https://www.transfermarkt.us/george-smith/profil/spieler/604920,Striker,0,13,https://www.transfermarkt.us/smith/nationalmannschaft/spieler/604920,29,5-Jun-33,?,9-Sep-33,05-Jun-33/09-Sep-33
4,https://img.a.transfermarkt.technology/portrait/medium/13148-1617088304.jpg?lm=1,Archie Thompson,https://www.transfermarkt.us/archie-thompson/profil/spieler/13148,Centre-Forward,46,54,https://www.transfermarkt.us/thompson/nationalmannschaft/spieler/13148,28,28-Feb-01,22 years 04 months 05 days,7-Sep-13,28-Feb-01/07-Sep-13
5,https://img.a.transfermarkt.technology/portrait/medium/7741-1416907223.jpg?lm=1,John Aloisi,https://www.transfermarkt.us/john-aloisi/profil/spieler/7741,Centre-Forward,49,55,https://www.transfermarkt.us/aloisi/nationalmannschaft/spieler/7741,27,13-Mar-97,21 years 01 month 08 days,6-Feb-08,13-Mar-97/06-Feb-08
6,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Attila Abonyi,https://www.transfermarkt.us/attila-abonyi/profil/spieler/143076,Right Winger,0,60,https://www.transfermarkt.us/abonyi/nationalmannschaft/spieler/143076,25,5-Nov-67,21 years 02 months 20 days,25-Nov-77,05-Nov-67/25-Nov-77
7,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,John Kosmina,https://www.transfermarkt.us/john-kosmina/profil/spieler/437022,Striker,68,60,https://www.transfermarkt.us/kosmina/nationalmannschaft/spieler/437022,25,,?,7-Jul-88,00-Jan-00/07-Jul-88
8,https://img.a.transfermarkt.technology/portrait/medium/462-1416905724.jpg?lm=1,David Zdrilic,https://www.transfermarkt.us/david-zdrilic/profil/spieler/462,Centre-Forward,50,31,https://www.transfermarkt.us/zdrilic/nationalmannschaft/spieler/462,21,,?,29-Mar-05,00-Jan-00/29-Mar-05
9,https://img.a.transfermarkt.technology/portrait/medium/s_4367_8054_2013_07_19_1.jpg?lm=1,Brett Emerton,https://www.transfermarkt.us/brett-emerton/profil/spieler/4367,Right Midfield,46,95,https://www.transfermarkt.us/emerton/nationalmannschaft/spieler/4367,20,7-Feb-98,18 years 11 months 16 days,9-Dec-12,07-Feb-98/09-Dec-12
10,https://img.a.transfermarkt.technology/portrait/medium/28336-1529585564.jpg?lm=1,Mile Jedinak,https://www.transfermarkt.us/mile-jedinak/profil/spieler/28336,Defensive Midfield,40,79,https://www.transfermarkt.us/jedinak/nationalmannschaft/spieler/28336,20,22-Mar-08,23 years 07 months 19 days,26-Jun-18,22-Mar-08/26-Jun-18
11,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Gary Cole,https://www.transfermarkt.us/gary-cole/profil/spieler/625726,Striker,69,40,https://www.transfermarkt.us/cole/nationalmannschaft/spieler/625726,20,,?,14-Oct-82,00-Jan-00/14-Oct-82
12,https://img.a.transfermarkt.technology/portrait/medium/701-1590497078.jpg?lm=1,Joshua Kennedy,https://www.transfermarkt.us/joshua-kennedy/profil/spieler/701,Centre-Forward,42,36,https://www.transfermarkt.us/kennedy/nationalmannschaft/spieler/701,20,7-Jun-06,23 years 09 months 18 days,26-May-14,07-Jun-06/26-May-14
13,https://img.a.transfermarkt.technology/portrait/medium/158582-1634051736.jpg?lm=1,Graham Arnold,https://www.transfermarkt.us/graham-arnold/profil/spieler/158582,Centre-Forward,61,56,https://www.transfermarkt.us/arnold/nationalmannschaft/spieler/158582,19,23-Oct-83,20 years 02 months 20 days,29-Nov-97,23-Oct-83/29-Nov-97
14,https://img.a.transfermarkt.technology/portrait/medium/129623-1609841812.jpg?lm=1,Aurelio Vidmar,https://www.transfermarkt.us/aurelio-vidmar/profil/spieler/129623,Centre-Forward,58,53,https://www.transfermarkt.us/vidmar/nationalmannschaft/spieler/129623,18,,?,7-Jun-01,00-Jan-00/07-Jun-01
15,https://img.a.transfermarkt.technology/portrait/medium/s_3241_25580_2014_03_26_1.jpg?lm=1,Harry Kewell,https://www.transfermarkt.us/harry-kewell/profil/spieler/3241,Left Winger,46,58,https://www.transfermarkt.us/kewell/nationalmannschaft/spieler/3241,17,24-Apr-96,17 years 07 months 02 days,8-Jun-12,24-Apr-96/08-Jun-12
16,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Ray Baartz,https://www.transfermarkt.us/ray-baartz/profil/spieler/176272,Striker,78,46,https://www.transfermarkt.us/baartz/nationalmannschaft/spieler/176272,17,5-Nov-67,20 years 07 months 30 days,27-Apr-74,05-Nov-67/27-Apr-74
17,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Eddie Krncevic,https://www.transfermarkt.us/eddie-krncevic/profil/spieler/114167,Centre-Forward,64,35,https://www.transfermarkt.us/krncevic/nationalmannschaft/spieler/114167,17,13-Jun-79,18 years 09 months 30 days,16-Apr-89,13-Jun-79/16-Apr-89
34,https://img.a.transfermarkt.technology/portrait/medium/126214-1599990767.jpg?lm=1,Mathew Leckie,https://www.transfermarkt.us/mathew-leckie/profil/spieler/126214,Left Winger,18,79,https://www.transfermarkt.us/leckie/nationalmannschaft/spieler/126214,14,14-Nov-12,21 years 09 months 10 days,11-Jun-24,14-Nov-12/11-Jun-24
19,https://img.a.transfermarkt.technology/portrait/medium/s_129611_123_2014_04_10_1.jpg?lm=1,Frank Farina,https://www.transfermarkt.us/frank-farina/profil/spieler/129611,Centre-Forward,60,67,https://www.transfermarkt.us/farina/nationalmannschaft/spieler/129611,14,14-Oct-84,20 years 01 month 09 days,18-Jun-95,14-Oct-84/18-Jun-95
20,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Judy Masters,https://www.transfermarkt.us/judy-masters/profil/spieler/604224,Striker,0,10,https://www.transfermarkt.us/masters/nationalmannschaft/spieler/604224,14,30-Jun-23,31 years 01 month 08 days,,30-Jun-23/00-Jan-00
21,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Frank Parsons,https://www.transfermarkt.us/frank-parsons/profil/spieler/612957,Striker,0,5,https://www.transfermarkt.us/parsons/nationalmannschaft/spieler/612957,14,14-Aug-48,?,17-Jun-50,14-Aug-48/17-Jun-50
22,https://img.a.transfermarkt.technology/portrait/medium/5867-1402045621.jpg?lm=1,Mark Bresciano,https://www.transfermarkt.us/mark-bresciano/profil/spieler/5867,Central Midfield,45,84,https://www.transfermarkt.us/bresciano/nationalmannschaft/spieler/5867,13,1-Jun-01,21 years 03 months 21 days,22-Jan-15,01-Jun-01/22-Jan-15
23,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Paul Trimboli,https://www.transfermarkt.us/paul-trimboli/profil/spieler/201886,Centre-Forward,56,40,https://www.transfermarkt.us/trimboli/nationalmannschaft/spieler/201886,13,3-Dec-88,19 years 09 months 08 days,12-Jul-02,03-Dec-88/12-Jul-02
24,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Jack Hughes,https://www.transfermarkt.us/jack-hughes/profil/spieler/604903,Striker,0,9,https://www.transfermarkt.us/hughes/nationalmannschaft/spieler/604903,13,17-Jun-33,?,1-Oct-38,17-Jun-33/01-Oct-38
25,https://img.a.transfermarkt.technology/portrait/medium/s_2894_26_2010_1.jpg?lm=1,Scott Chipperfield,https://www.transfermarkt.us/scott-chipperfield/profil/spieler/2894,Left Midfield,49,68,https://www.transfermarkt.us/chipperfield/nationalmannschaft/spieler/2894,12,25-Sep-98,22 years 08 months 26 days,23-Jun-10,25-Sep-98/23-Jun-10
